GROUP,Sample,0,10,20,30,40,50,60,70,80,90,100,110,120,rate of change,protein concentration (mg/mL),protein amount
AM_G43 & G44,Diseased cells - cytosolic fraction,-0.046,-0.046,-0.047,-0.049,-0.049,-0.049,-0.049,-0.05,-0.052,-0.053,-0.052,-0.053,-0.053,-0.000063736,0.5465417,0.010930834
AM_G59 & G60,Diseased cells - cytosolic fraction,-0.057,-0.057,-0.058,-0.057,-0.056,-0.056,-0.056,-0.056,-0.054,-0.053,-0.054,-0.053,-0.051,0.000048352,0.5002769,0.010005538
AM_G47 & G48,Diseased cells - mitochondrial fraction,0,0.017,0.034,0.052,0.069,0.085,0.101,0.117,0.133,0.148,0.162,0.177,0.191,0.001596703,0.4777052,0.009554104
AM_G45 & G46,Diseased – 10 μM Respiranox cells - cytosolic fraction,-0.067,-0.067,-0.065,-0.06,-0.056,-0.05,-0.049,-0.051,-0.051,-0.052,-0.054,-0.055,-0.055,0.000114835,0.4228602,0.008457204
AM_G1 & G6,Diseased – 10 μM Respiranox cells - cytosolic fraction,0,0.005,0.002,0.008,0.006,0.003,0.002,0.002,0.001,0.001,0.001,0.002,0.001,-0.000024725,0.4029539,0.008059078
PM_G3 & G4,Diseased – 10 μM Respiranox cells - mitochondrial fraction,-0.026,-0.018,-0.009,0,0.012,0.024,0.035,0.045,0.054,0.064,0.073,0.082,0.09,0.00100055,0.3748479,0.007496958
AM_G47 & G48,Diseased – 10 μM Respiranox cells - mitochondrial fraction,-0.018,0.002,0.023,0.045,0.066,0.083,0.1,0.113,0.125,0.134,0.141,0.149,0.155,0.001461539,0.3630991,0.007261982
PM_G7 & G8,Diseased cells - mitochondrial fraction,-0.017,-0.011,-0.002,0.009,0.02,0.032,0.043,0.053,0.064,0.072,0.08,0.087,0.094,0.000979121,0.3589673,0.007179346
AM_G59 & G60,Diseased – 10 μM Respiranox cells - cytosolic fraction,-0.065,-0.064,-0.062,-0.06,-0.058,-0.057,-0.054,-0.051,-0.049,-0.047,-0.045,-0.042,-0.041,0.000211539,0.310316,0.00620632
AM_G39 & G40,Diseased – 10 μM Respiranox cells - cytosolic fraction,0.012,0.024,0.03,0.035,0.039,0.043,0.045,0.047,0.05,0.052,0.054,0.056,0.057,0.000331319,0.3068138,0.006136276
AM_G47 & G48,Diseased – 10 μM Respiranox cells - cytosolic fraction,-0.045,-0.043,-0.039,-0.039,-0.036,-0.036,-0.034,-0.032,-0.03,-0.027,-0.024,-0.022,-0.02,0.000201648,0.2461053,0.004922106
PM_G11 & G12,Diseased – 10 μM Respiranox cells - mitochondrial fraction,-0.045,-0.041,-0.034,-0.027,-0.019,-0.01,-0.02,0.005,0.013,0.02,0.025,0.031,0.037,0.000718681,0.1905664,0.003811328
AM_G45 & G46,Diseased cells - cytosolic fraction,0.006,0.017,0.02,0.024,0.028,0.03,0.033,0.037,0.038,0.04,0.043,0.045,0.047,0.000303846,0.183534,0.00367068
PM_G11 & G12,Diseased cells - cytosolic fraction,-0.059,-0.062,-0.067,-0.068,-0.066,-0.066,-0.064,-0.062,-0.061,-0.061,-0.06,-0.059,-0.059,0.000042857,0.1748576,0.003497152
PM_G11 & G12,Diseased – 10 μM Respiranox cells - cytosolic fraction,-0.067,-0.064,-0.062,-0.06,-0.059,-0.057,-0.056,-0.054,-0.054,-0.053,-0.051,-0.05,-0.051,0.000134066,0.1748576,0.003497152
PM_G3 & G4,Diseased cells - mitochondrial fraction,-0.015,0.002,0.021,0.038,0.057,0.073,0.087,0.098,0.108,0.116,0.123,0.13,0.135,0.001268681,0.168238,0.00336476
AM_G47 & G48,Diseased cells - cytosolic fraction,-0.057,-0.057,-0.056,-0.055,-0.054,-0.053,-0.052,-0.053,-0.052,-0.05,-0.049,-0.049,-0.049,0.000074176,0.1673136,0.003346272
AM_G39 & G40,Diseased cells - cytosolic fraction,0.006,0.017,0.02,0.024,0.028,0.03,0.033,0.037,0.038,0.04,0.043,0.045,0.047,0.000303846,0.1631409,0.003262818
AM_G45 & G46,Diseased cells - mitochondrial fraction,-0.02,-0.015,-0.007,-0.001,-0.007,0.015,0.023,0.032,0.039,0.046,0.054,0.063,0.07,0.000782418,0.1496295,0.00299259
PM_G9 & G10,Diseased cells - cytosolic fraction,-0.01,-0.005,-0.003,-0.001,0.001,0.004,0.006,0.008,0.01,0.012,0.013,0.016,0.018,0.000218681,0.1491113,0.002982226
PM_G9 & G10,Diseased – 10 μM Respiranox cells - cytosolic fraction,0.07,0.088,0.077,0.079,0.092,0.098,0.102,0.105,0.108,0.113,0.119,0.123,0.128,0.000457143,0.1491113,0.002982226
PM_G7 & G8,Diseased cells - cytosolic fraction,-0.033,-0.031,-0.031,-0.03,-0.029,-0.027,-0.025,-0.023,-0.022,-0.023,-0.022,-0.021,-0.02,0.000111539,0.1142826,0.002285652
PM_G7 & G8,Diseased – 10 μM Respiranox cells - cytosolic fraction,-0.034,-0.032,-0.03,-0.028,-0.027,-0.026,-0.025,-0.023,-0.022,-0.022,-0.021,-0.019,-0.019,0.000121978,0.1142826,0.002285652
AM_G1 & G6,Diseased – 10 μM Respiranox cells - mitochondrial fraction,0,-0.001,0,0,0,0,0,0,0,0.001,0,0,0,0.000004396,0.1135655,0.00227131
