Column1,Column2,1,2,3,4,5,6,7,,,,,,
G55 & G56,D,8724,9932,9991,9565,9488,9352,,,,,,,
G57 & G58,A,25136.00,21756.00,24562.00,18727.00,15656.00,15598.00,,,,,,,
G57 & G58,B,22160.00,17079.00,21649.00,16378.00,14252.00,13883.00,,,,,,,
G57 & G58,C,20552.00,19958.00,24584.00,16688.00,14897.00,13786.00,,,,,,,
G57 & G58,D,9192.00,10668.00,10769.00,10643.00,10597.00,9965.00,,,,,,,
G59 & G60,A,45236.00,19156.00,32423.00,21377.00,14514.00,13899.00,,,,,,,
G59 & G60,B,34437.00,22837.00,24484.00,20526.00,13766.00,12955.00,,,,,,,
G59 & G60,C,32430.00,25044.00,31453.00,21336.00,13931.00,13259.00,,,,,,,
G59 & G60,D,6451.00,6834.00,6347.00,6384.00,5978.00,6126.00,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
